created_at,TextPivot,Count of Number of Records
11/3/2020,positive,887
11/3/2020,pandemic,1543
11/3/2020,outbreak,1432
11/3/2020,information,737
11/3/2020,Health,940
11/3/2020,health,1797
11/3/2020,hands,1100
11/3/2020,getting,812
11/3/2020,fight,818
11/3/2020,crisis,676
11/3/2020,confirmed,1032
11/3/2020,cases,3145
11/3/2020,case,835
11/3/2020,care,855
12/3/2020,weeks,1647
12/3/2020,virus,3849
12/3/2020,testing,1977
12/3/2020,tested,2199
12/3/2020,test,1716
12/3/2020,stop,1614
12/3/2020,stay,1567
12/3/2020,spread,3044
12/3/2020,social,1114
12/3/2020,sick,1412
12/3/2020,safe,1437
12/3/2020,risk,1138
12/3/2020,response,1616
12/3/2020,public,2066
12/3/2020,positive,2407
12/3/2020,pandemic,2588
12/3/2020,outbreak,1804
12/3/2020,information,1116
12/3/2020,Health,1045
12/3/2020,health,2807
12/3/2020,hands,1679
12/3/2020,getting,1504
12/3/2020,fight,1028
12/3/2020,crisis,1360
12/3/2020,confirmed,1292
12/3/2020,cases,3660
12/3/2020,case,1329
12/3/2020,care,1620
13/3/2020,weeks,927
13/3/2020,virus,2441
13/3/2020,testing,1170
13/3/2020,tested,1411
13/3/2020,test,1136
13/3/2020,stop,971
13/3/2020,stay,942
13/3/2020,spread,1757
13/3/2020,social,678
13/3/2020,sick,764
13/3/2020,safe,1103
13/3/2020,risk,695
13/3/2020,response,1187
13/3/2020,public,1265
13/3/2020,positive,1314
13/3/2020,pandemic,1568
13/3/2020,outbreak,1187
13/3/2020,information,651
13/3/2020,Health,682
13/3/2020,health,1687
13/3/2020,hands,960
13/3/2020,getting,851
13/3/2020,fight,814
13/3/2020,crisis,885
13/3/2020,confirmed,849
13/3/2020,cases,2057
13/3/2020,case,926
13/3/2020,care,911
14/3/2020,weeks,712
14/3/2020,virus,1773
14/3/2020,testing,878
14/3/2020,tested,961
14/3/2020,test,807
14/3/2020,stop,823
14/3/2020,stay,858
14/3/2020,spread,1402
14/3/2020,social,709
14/3/2020,sick,581
14/3/2020,safe,977
14/3/2020,risk,698
14/3/2020,response,829
14/3/2020,public,963
14/3/2020,positive,796
14/3/2020,pandemic,1328
14/3/2020,outbreak,764
14/3/2020,information,504
14/3/2020,Health,504
14/3/2020,health,1430
14/3/2020,hands,827
14/3/2020,getting,664
14/3/2020,fight,747
14/3/2020,crisis,727
14/3/2020,confirmed,630
14/3/2020,cases,2007
14/3/2020,case,641
14/3/2020,care,865
15/3/2020,weeks,1033
15/3/2020,virus,2340
15/3/2020,testing,1122
15/3/2020,tested,1037
15/3/2020,test,959
15/3/2020,stop,1210
15/3/2020,stay,1290
15/3/2020,spread,2173
15/3/2020,social,1616
15/3/2020,sick,759
15/3/2020,safe,1086
15/3/2020,risk,901
15/3/2020,response,950
15/3/2020,public,1290
15/3/2020,positive,959
15/3/2020,pandemic,1528
15/3/2020,outbreak,838
15/3/2020,information,695
15/3/2020,Health,659
15/3/2020,health,1802
15/3/2020,hands,849
15/3/2020,getting,861
15/3/2020,fight,996
15/3/2020,crisis,1069
15/3/2020,confirmed,992
15/3/2020,cases,2956
15/3/2020,case,824
15/3/2020,care,1117
16/3/2020,weeks,878
16/3/2020,virus,1794
16/3/2020,testing,751
16/3/2020,tested,596
16/3/2020,test,689
16/3/2020,stop,902
