created_at,TextPivot,Count of Number of Records
11/4/2020,sir,2553
11/4/2020,right,2062
11/4/2020,Police,1058
11/4/2020,News,2440
11/4/2020,media,1407
11/4/2020,Govt,1615
11/4/2020,government,2308
11/4/2020,free,1113
11/4/2020,@realDonaldTrump,2092
12/4/2020,world,4332
12/4/2020,Trump,2219
12/4/2020,test,972
12/4/2020,state,1699
12/4/2020,Sir,2371
12/4/2020,right,1803
12/4/2020,police,1577
12/4/2020,news,2218
12/4/2020,Media,1035
12/4/2020,govt,1584
12/4/2020,Government,1883
12/4/2020,FREE,1068
12/4/2020,@realDonaldTrump,2713
13/4/2020,World,2031
13/4/2020,trump,1128
13/4/2020,test,636
13/4/2020,state,1054
13/4/2020,Sir,1360
13/4/2020,right,877
13/4/2020,Police,871
13/4/2020,News,1300
13/4/2020,media,623
13/4/2020,Govt,726
13/4/2020,government,1066
13/4/2020,free,1149
13/4/2020,@realDonaldTrump,1136
14/4/2020,world,4039
14/4/2020,Trump,2733
14/4/2020,test,1277
14/4/2020,state,2236
14/4/2020,sir,2731
14/4/2020,right,1975
14/4/2020,police,1368
14/4/2020,News,2434
14/4/2020,media,1185
14/4/2020,govt,2198
14/4/2020,Government,2638
14/4/2020,free,1501
14/4/2020,@realDonaldTrump,2066
15/4/2020,world,1092
15/4/2020,WHO,1500
15/4/2020,US,1008
15/4/2020,Trump,1829
15/4/2020,testing,792
15/4/2020,test,494
15/4/2020,state,608
15/4/2020,right,766
15/4/2020,news,685
15/4/2020,government,794
15/4/2020,free,507
15/4/2020,@realDonaldTrump,1184
16/4/2020,world,1230
16/4/2020,WHO,1384
16/4/2020,US,1096
16/4/2020,Trump,2010
16/4/2020,testing,1070
16/4/2020,test,529
16/4/2020,state,707
16/4/2020,right,922
16/4/2020,news,827
16/4/2020,government,1076
16/4/2020,free,579
16/4/2020,@realDonaldTrump,1158
17/4/2020,world,853
17/4/2020,WHO,567
17/4/2020,US,871
17/4/2020,Trump,1510
17/4/2020,testing,1025
17/4/2020,test,517
17/4/2020,state,631
17/4/2020,right,671
17/4/2020,news,611
17/4/2020,government,811
17/4/2020,free,449
17/4/2020,@realDonaldTrump,1570
18/4/2020,world,1079
18/4/2020,WHO,492
18/4/2020,US,968
18/4/2020,Trump,1547
18/4/2020,testing,811
18/4/2020,test,484
18/4/2020,state,610
18/4/2020,right,787
18/4/2020,news,569
18/4/2020,government,853
18/4/2020,free,369
18/4/2020,@realDonaldTrump,1310
19/4/2020,world,1323
19/4/2020,WHO,486
19/4/2020,US,966
19/4/2020,Trump,1694
19/4/2020,testing,1036
19/4/2020,test,428
19/4/2020,state,623
19/4/2020,right,818
19/4/2020,news,571
19/4/2020,government,872
19/4/2020,free,397
19/4/2020,@realDonaldTrump,1492
20/4/2020,world,1266
20/4/2020,WHO,394
20/4/2020,US,1070
