created_at,TextPivot,Count of Number of Records
21/3/2020,stand,566
21/3/2020,spread,1128
21/3/2020,PM,3981
21/3/2020,news,591
21/3/2020,Janta,7467
21/3/2020,Italy,1139
21/3/2020,Italian,532
21/3/2020,government,731
21/3/2020,Curfew,7537
21/3/2020,crisis,783
21/3/2020,country,872
21/3/2020,colleagues,535
21/3/2020,Cari,435
21/3/2020,amici,435
21/3/2020,#WeStandWithItaly,433
22/3/2020,world,2323
22/3/2020,Trump,1581
22/3/2020,stand,5629
22/3/2020,spread,2475
22/3/2020,PM,1014
22/3/2020,news,1160
22/3/2020,Janta,772
22/3/2020,Italy,6826
22/3/2020,Italian,5713
22/3/2020,government,1536
22/3/2020,Curfew,810
22/3/2020,crisis,1707
22/3/2020,country,1799
22/3/2020,colleagues,5487
22/3/2020,Cari,5301
22/3/2020,amici,5302
22/3/2020,#WeStandWithItaly,5302
23/3/2020,world,1351
23/3/2020,Trump,1045
23/3/2020,stand,1325
23/3/2020,spread,1270
23/3/2020,PM,343
23/3/2020,news,705
23/3/2020,Janta,13
23/3/2020,Italy,1696
23/3/2020,Italian,1403
23/3/2020,government,898
23/3/2020,Curfew,79
23/3/2020,crisis,1450
23/3/2020,country,999
23/3/2020,colleagues,1292
23/3/2020,Cari,1172
23/3/2020,amici,1172
23/3/2020,#WeStandWithItaly,1177
24/3/2020,world,2744
24/3/2020,Trump,2470
24/3/2020,stand,827
24/3/2020,spread,3280
24/3/2020,PM,723
24/3/2020,news,1606
24/3/2020,Janta,11
24/3/2020,Italy,1353
24/3/2020,Italian,708
24/3/2020,government,1891
24/3/2020,Curfew,47
24/3/2020,crisis,2782
24/3/2020,country,2231
24/3/2020,colleagues,676
24/3/2020,Cari,427
24/3/2020,amici,427
24/3/2020,#WeStandWithItaly,427
17/3/2020,world,2151
17/3/2020,Trump,1538
17/3/2020,stand,1075
17/3/2020,spread,2354
17/3/2020,news,1252
17/3/2020,Italy,1467
17/3/2020,Italian,973
17/3/2020,government,1555
17/3/2020,Curfew,4
17/3/2020,crisis,1468
17/3/2020,country,1344
17/3/2020,colleagues,1030
17/3/2020,Cari,852
17/3/2020,amici,852
17/3/2020,#WeStandWithItaly,852
18/3/2020,world,1942
18/3/2020,Trump,1299
18/3/2020,stand,554
18/3/2020,spread,2019
18/3/2020,news,1256
18/3/2020,Italy,1027
18/3/2020,Italian,479
18/3/2020,government,1336
18/3/2020,Curfew,5
18/3/2020,crisis,1459
18/3/2020,country,1168
18/3/2020,colleagues,564
18/3/2020,Cari,359
18/3/2020,amici,359
18/3/2020,#WeStandWithItaly,358
19/3/2020,world,1938
19/3/2020,Trump,1287
19/3/2020,stand,458
19/3/2020,spread,1872
19/3/2020,news,1217
19/3/2020,Italy,973
19/3/2020,Italian,382
19/3/2020,government,1205
19/3/2020,Curfew,29
19/3/2020,crisis,1422
19/3/2020,country,1214
19/3/2020,colleagues,385
19/3/2020,Cari,221
19/3/2020,amici,221
19/3/2020,#WeStandWithItaly,219
20/3/2020,world,1749
20/3/2020,Trump,1409
20/3/2020,stand,462
20/3/2020,spread,1753
20/3/2020,news,967
20/3/2020,Italy,1039
20/3/2020,Italian,409
20/3/2020,government,1205
20/3/2020,Curfew,51
20/3/2020,crisis,1643
20/3/2020,country,1208
20/3/2020,colleagues,474
20/3/2020,Cari,262
20/3/2020,amici,262
20/3/2020,#WeStandWithItaly,263
21/3/2020,world,1439
21/3/2020,Trump,1242
21/3/2020,stand,1436
21/3/2020,spread,1565
21/3/2020,news,848
21/3/2020,Italy,2271
21/3/2020,Italian,1410
21/3/2020,government,931
21/3/2020,Curfew,5354
21/3/2020,crisis,1162
21/3/2020,country,1080
21/3/2020,colleagues,1402
21/3/2020,Cari,1255
21/3/2020,amici,1255
21/3/2020,#WeStandWithItaly,1254
22/3/2020,world,1239
22/3/2020,Trump,1251
22/3/2020,stand,2685
22/3/2020,spread,1270
22/3/2020,news,644
22/3/2020,Italy,3332
22/3/2020,Italian,2744
22/3/2020,government,833
22/3/2020,Curfew,711
22/3/2020,crisis,973
22/3/2020,country,993
22/3/2020,colleagues,2623
22/3/2020,Cari,2523
22/3/2020,amici,2524
22/3/2020,#WeStandWithItaly,2524
23/3/2020,world,2249
23/3/2020,Trump,1782
23/3/2020,stand,1947
23/3/2020,spread,2578
23/3/2020,news,1159
23/3/2020,Italy,2572
23/3/2020,Italian,2014
23/3/2020,government,1531
23/3/2020,Curfew,81
23/3/2020,crisis,2391
23/3/2020,country,1649
23/3/2020,colleagues,1875
23/3/2020,Cari,1680
23/3/2020,amici,1680
23/3/2020,#WeStandWithItaly,1676
24/3/2020,world,1653
24/3/2020,Trump,1320
24/3/2020,stand,586
24/3/2020,spread,1788
24/3/2020,news,939
24/3/2020,Italy,826
24/3/2020,Italian,524
24/3/2020,government,1204
24/3/2020,Curfew,46
24/3/2020,crisis,1541
24/3/2020,country,1305
24/3/2020,colleagues,486
24/3/2020,Cari,334
24/3/2020,amici,334
24/3/2020,#WeStandWithItaly,335
17/3/2020,world,1394
17/3/2020,Trump,1044
17/3/2020,stand,698
17/3/2020,spread,1498
17/3/2020,PM,255
17/3/2020,news,932
17/3/2020,Italy,1019
17/3/2020,Italian,645
17/3/2020,information,621
17/3/2020,government,1250
17/3/2020,crisis,1067
17/3/2020,country,908
17/3/2020,colleagues,694
17/3/2020,Cari,552
17/3/2020,amici,552
17/3/2020,#WeStandWithItaly,550
18/3/2020,world,1411
18/3/2020,Trump,1128
18/3/2020,stand,353
18/3/2020,spread,1352
18/3/2020,PM,203
18/3/2020,news,878
18/3/2020,Italy,674
18/3/2020,Italian,311
18/3/2020,information,619
18/3/2020,government,918
18/3/2020,crisis,1005
18/3/2020,country,849
18/3/2020,colleagues,358
18/3/2020,Cari,223
18/3/2020,amici,223
18/3/2020,#WeStandWithItaly,223
19/3/2020,world,1733
19/3/2020,Trump,1109
19/3/2020,stand,384
19/3/2020,spread,1587
19/3/2020,PM,753
19/3/2020,news,1068
19/3/2020,Italy,1060
19/3/2020,Italian,328
19/3/2020,information,802
19/3/2020,government,1037
19/3/2020,crisis,1285
19/3/2020,country,1119
19/3/2020,colleagues,344
19/3/2020,Cari,175
19/3/2020,amici,176
19/3/2020,#WeStandWithItaly,176
20/3/2020,world,1224
20/3/2020,Trump,1366
20/3/2020,stand,309
20/3/2020,spread,1299
20/3/2020,PM,268
20/3/2020,news,798
20/3/2020,Italy,830
20/3/2020,Italian,273
20/3/2020,information,687
20/3/2020,government,881
20/3/2020,crisis,1377
20/3/2020,country,851
20/3/2020,colleagues,273
20/3/2020,Cari,146
20/3/2020,amici,146
20/3/2020,#WeStandWithItaly,146
21/3/2020,world,1448
21/3/2020,Trump,1456
21/3/2020,stand,1090
21/3/2020,spread,1632
21/3/2020,PM,2014
21/3/2020,news,854
21/3/2020,Italy,2023
21/3/2020,Italian,1079
21/3/2020,information,738
21/3/2020,government,867
21/3/2020,crisis,1165
21/3/2020,country,1085
21/3/2020,colleagues,1057
21/3/2020,Cari,931
21/3/2020,amici,931
21/3/2020,#WeStandWithItaly,929
22/3/2020,world,880
22/3/2020,Trump,608
22/3/2020,stand,1841
22/3/2020,spread,938
22/3/2020,PM,418
22/3/2020,news,387
22/3/2020,Italy,2281
22/3/2020,Italian,1847
22/3/2020,information,250
22/3/2020,government,605
22/3/2020,crisis,640
22/3/2020,country,668
22/3/2020,colleagues,1806
22/3/2020,Cari,1742
22/3/2020,amici,1743
22/3/2020,#WeStandWithItaly,1742
23/3/2020,world,1105
23/3/2020,Trump,625
23/3/2020,stand,959
23/3/2020,spread,1256
23/3/2020,PM,200
23/3/2020,news,591
23/3/2020,Italy,1340
23/3/2020,Italian,1005
23/3/2020,information,438
23/3/2020,government,737
23/3/2020,crisis,1118
23/3/2020,country,713
23/3/2020,colleagues,920
23/3/2020,Cari,835
23/3/2020,amici,836
23/3/2020,#WeStandWithItaly,836
24/3/2020,world,1072
24/3/2020,Trump,961
24/3/2020,stand,429
24/3/2020,spread,1053
24/3/2020,PM,466
24/3/2020,news,614
24/3/2020,Italy,642
24/3/2020,Italian,372
24/3/2020,information,380
24/3/2020,government,768
24/3/2020,crisis,946
24/3/2020,country,826
24/3/2020,colleagues,344
24/3/2020,Cari,265
24/3/2020,amici,265
24/3/2020,#WeStandWithItaly,267
25/3/2020,#CoronavirusLockdown,5696
25/3/2020,app,3902
25/3/2020,country,4308
25/3/2020,crisis,7609
25/3/2020,government,3598
25/3/2020,news,3549
25/3/2020,spread,8705
25/3/2020,Trump,4597
25/3/2020,world,5737
26/3/2020,#CoronavirusLockdown,2318
26/3/2020,app,1435
26/3/2020,country,3899
26/3/2020,crisis,7040
26/3/2020,government,3022
26/3/2020,news,2833
26/3/2020,spread,5403
26/3/2020,Trump,4016
26/3/2020,world,6257
27/3/2020,#5YearsOfWarOnYemen,9421
27/3/2020,#CoronaLockdown,6048
27/3/2020,#Yemen,10555
27/3/2020,blockade,3456
27/3/2020,Boris,3947
27/3/2020,coalition,3566
27/3/2020,countries,4432
27/3/2020,country,6876
27/3/2020,crisis,7120
27/3/2020,government,4882
27/3/2020,news,4688
27/3/2020,spread,8277
27/3/2020,Trump,7060
27/3/2020,UK,4022
27/3/2020,US-Saudi,5485
27/3/2020,world,12275
28/3/2020,Act,492
28/3/2020,country,2809
28/3/2020,crisis,2646
