created_at,TextPivot,Number of Records
12/03/2020,debt,29
12/03/2020,crisis,144
12/03/2020,country,122
12/03/2020,China,132
12/03/2020,care,148
12/03/2020,businesses,101
12/03/2020,business,824
12/03/2020,#economy,109
12/03/2020,#business,74
12/03/2020,@realDonaldTrump,190
13/03/2020,world,195
13/03/2020,working,111
13/03/2020,workers,126
13/03/2020,work,290
13/03/2020,virus,193
13/03/2020,US,127
13/03/2020,Trump,151
13/03/2020,today,96
13/03/2020,time,291
13/03/2020,support,131
13/03/2020,small,122
13/03/2020,save,74
13/03/2020,right,167
13/03/2020,response,108
13/03/2020,rent,95
13/03/2020,public,94
13/03/2020,paying,152
13/03/2020,pay,686
13/03/2020,pandemic,163
13/03/2020,package,27
13/03/2020,open,61
13/03/2020,new,77
13/03/2020,needed,33
13/03/2020,money,881
13/03/2020,million,42
13/03/2020,lost,47
13/03/2020,lockdown,25
13/03/2020,lives,115
13/03/2020,latest,65
13/03/2020,jobs,214
13/03/2020,income,147
13/03/2020,impact,148
13/03/2020,home,174
13/03/2020,help,298
13/03/2020,health,213
13/03/2020,government,222
13/03/2020,good,134
13/03/2020,global,76
13/03/2020,economy,578
13/03/2020,economic,74
13/03/2020,debt,10
13/03/2020,crisis,146
13/03/2020,country,114
13/03/2020,China,151
13/03/2020,care,149
13/03/2020,businesses,117
13/03/2020,business,950
13/03/2020,#economy,91
13/03/2020,#business,79
13/03/2020,@realDonaldTrump,161
14/03/2020,world,141
14/03/2020,working,66
14/03/2020,workers,115
14/03/2020,work,197
14/03/2020,virus,77
14/03/2020,US,65
14/03/2020,Trump,116
14/03/2020,today,40
14/03/2020,time,180
14/03/2020,support,107
14/03/2020,small,83
14/03/2020,save,48
14/03/2020,right,93
14/03/2020,response,32
14/03/2020,rent,62
14/03/2020,public,74
14/03/2020,paying,131
14/03/2020,pay,480
14/03/2020,pandemic,128
14/03/2020,package,15
14/03/2020,open,33
14/03/2020,new,72
14/03/2020,needed,13
14/03/2020,money,613
14/03/2020,million,27
14/03/2020,lost,30
14/03/2020,lockdown,10
14/03/2020,lives,38
14/03/2020,latest,28
14/03/2020,jobs,118
14/03/2020,income,114
14/03/2020,impact,48
14/03/2020,home,135
14/03/2020,help,167
14/03/2020,health,127
14/03/2020,government,79
14/03/2020,good,93
14/03/2020,global,40
14/03/2020,economy,341
14/03/2020,economic,23
14/03/2020,debt,22
14/03/2020,crisis,67
14/03/2020,country,69
14/03/2020,China,88
14/03/2020,care,73
14/03/2020,businesses,59
14/03/2020,business,549
14/03/2020,#economy,39
14/03/2020,#business,46
14/03/2020,@realDonaldTrump,90
15/03/2020,world,149
15/03/2020,working,94
15/03/2020,workers,145
15/03/2020,work,241
15/03/2020,virus,163
15/03/2020,US,133
15/03/2020,Trump,162
15/03/2020,today,45
15/03/2020,time,227
15/03/2020,support,143
15/03/2020,small,92
15/03/2020,save,58
15/03/2020,right,130
15/03/2020,response,64
15/03/2020,rent,77
15/03/2020,public,99
15/03/2020,paying,189
15/03/2020,pay,716
15/03/2020,pandemic,140
15/03/2020,package,14
15/03/2020,open,60
15/03/2020,new,100
15/03/2020,needed,33
15/03/2020,money,707
15/03/2020,million,25
15/03/2020,lost,51
15/03/2020,lockdown,30
15/03/2020,lives,79
15/03/2020,latest,27
15/03/2020,jobs,157
15/03/2020,income,146
15/03/2020,impact,65
15/03/2020,home,155
15/03/2020,help,209
15/03/2020,health,165
15/03/2020,government,174
15/03/2020,good,108
15/03/2020,global,91
15/03/2020,economy,449
15/03/2020,economic,70
15/03/2020,debt,6
15/03/2020,crisis,145
15/03/2020,country,84
15/03/2020,China,83
15/03/2020,care,91
15/03/2020,businesses,88
15/03/2020,business,598
15/03/2020,#economy,60
15/03/2020,#business,25
15/03/2020,@realDonaldTrump,115
16/03/2020,world,157
16/03/2020,working,134
16/03/2020,workers,278
16/03/2020,work,437
16/03/2020,virus,177
16/03/2020,US,113
16/03/2020,Trump,114
