created_at,TextPivot,Count of Number of Records
22/3/2020,working,462
22/3/2020,workers,552
22/3/2020,work,716
22/3/2020,public,446
22/3/2020,home,1440
22/3/2020,colleagues,1806
23/3/2020,working,809
23/3/2020,workers,821
23/3/2020,work,1226
23/3/2020,public,572
23/3/2020,home,1878
23/3/2020,colleagues,920
24/3/2020,working,803
24/3/2020,workers,764
24/3/2020,work,1270
24/3/2020,public,547
24/3/2020,home,1840
24/3/2020,colleagues,344
25/3/2020,home,9826
25/3/2020,number,2384
25/3/2020,public,3344
25/3/2020,total,2797
25/3/2020,work,7087
25/3/2020,workers,4058
25/3/2020,working,4118
26/3/2020,home,6795
26/3/2020,number,2890
26/3/2020,public,2355
26/3/2020,total,2767
26/3/2020,work,5420
26/3/2020,workers,3968
26/3/2020,working,3505
27/3/2020,home,10534
27/3/2020,number,4415
27/3/2020,public,3864
27/3/2020,work,7869
27/3/2020,workers,5664
27/3/2020,working,5036
28/3/2020,home,4892
28/3/2020,number,1783
28/3/2020,public,1622
28/3/2020,work,3150
28/3/2020,workers,2558
28/3/2020,working,1732
29/3/2020,home,3691
29/3/2020,number,1525
29/3/2020,public,1277
29/3/2020,work,2297
29/3/2020,workers,2005
29/3/2020,working,1242
30/3/2020,home,5195
30/3/2020,number,1853
30/3/2020,public,1752
30/3/2020,work,3564
30/3/2020,workers,2973
30/3/2020,working,2411
31/3/2020,home,3829
31/3/2020,number,1386
31/3/2020,public,1482
31/3/2020,work,2783
31/3/2020,workers,2075
31/3/2020,working,1796
1/4/2020,Business,3272
1/4/2020,home,10932
1/4/2020,number,3658
1/4/2020,public,4497
1/4/2020,total,4068
1/4/2020,work,7490
1/4/2020,workers,5682
1/4/2020,working,4856
2/4/2020,Business,3376
2/4/2020,home,9756
2/4/2020,number,3985
2/4/2020,Public,4606
2/4/2020,total,3680
2/4/2020,work,7405
2/4/2020,workers,6597
2/4/2020,working,4894
3/4/2020,business,3771
3/4/2020,home,10694
3/4/2020,number,3680
3/4/2020,Public,4883
3/4/2020,total,3900
3/4/2020,work,7859
3/4/2020,Workers,5817
3/4/2020,working,5303
4/4/2020,working,3165
4/4/2020,workers,3985
4/4/2020,work,5747
4/4/2020,Total,3751
4/4/2020,public,4334
4/4/2020,number,3225
4/4/2020,home,9049
5/4/2020,working,2741
5/4/2020,workers,3702
5/4/2020,work,4892
5/4/2020,total,3772
5/4/2020,public,3493
5/4/2020,Number,3301
5/4/2020,home,8763
6/4/2020,work,3061
6/4/2020,money,2148
6/4/2020,home,3859
6/4/2020,5G,1945
7/4/2020,work,2611
7/4/2020,money,1980
7/4/2020,home,3049
7/4/2020,5G,1514
8/4/2020,work,2746
8/4/2020,money,2763
8/4/2020,home,3613
8/4/2020,giving,1636
8/4/2020,5g,1563
9/4/2020,working,1206
9/4/2020,Work,2192
9/4/2020,prosperity,1607
9/4/2020,money,2129
9/4/2020,home,3184
9/4/2020,giving,2141
10/4/2020,work,2543
10/4/2020,money,1880
10/4/2020,home,3796
10/4/2020,food,1345
10/4/2020,economy,1129
11/4/2020,work,2135
11/4/2020,money,1463
11/4/2020,home,3090
11/4/2020,food,1439
11/4/2020,economy,870
12/4/2020,work,2833
12/4/2020,money,1599
12/4/2020,home,3570
12/4/2020,food,1271
12/4/2020,economy,1340
13/4/2020,work,1737
13/4/2020,money,849
13/4/2020,Home,1990
13/4/2020,food,1123
13/4/2020,economy,853
14/4/2020,WORK,3022
14/4/2020,money,1994
14/4/2020,home,3771
14/4/2020,food,1553
14/4/2020,economy,1400
15/4/2020,working,746
15/4/2020,workers,973
15/4/2020,work,1257
15/4/2020,total,548
15/4/2020,public,942
15/4/2020,number,564
15/4/2020,home,1022
15/4/2020,food,464
15/4/2020,economy,651
15/4/2020,business,568
16/4/2020,working,963
16/4/2020,workers,1264
16/4/2020,work,1493
16/4/2020,total,645
16/4/2020,public,1428
16/4/2020,number,736
16/4/2020,home,1451
16/4/2020,food,708
16/4/2020,economy,710
16/4/2020,business,715
17/4/2020,working,676
17/4/2020,workers,927
17/4/2020,work,1132
17/4/2020,total,471
17/4/2020,public,706
17/4/2020,number,534
17/4/2020,home,1030
17/4/2020,food,532
17/4/2020,economy,535
17/4/2020,business,551
18/4/2020,working,505
18/4/2020,workers,718
18/4/2020,work,936
18/4/2020,total,607
18/4/2020,public,596
18/4/2020,number,585
18/4/2020,home,973
18/4/2020,food,418
18/4/2020,economy,351
18/4/2020,business,330
19/4/2020,working,490
19/4/2020,workers,679
19/4/2020,work,973
19/4/2020,total,597
19/4/2020,public,552
19/4/2020,number,575
19/4/2020,home,1019
19/4/2020,food,443
19/4/2020,economy,414
19/4/2020,business,348
20/4/2020,working,836
20/4/2020,workers,990
20/4/2020,work,1408
20/4/2020,total,624
20/4/2020,public,663
20/4/2020,number,728
20/4/2020,home,1242
20/4/2020,food,640
20/4/2020,economy,506
20/4/2020,business,765
21/4/2020,working,737
21/4/2020,workers,803
21/4/2020,work,1267
21/4/2020,total,583
21/4/2020,public,668
21/4/2020,number,617
21/4/2020,home,1155
21/4/2020,food,573
21/4/2020,economy,438
21/4/2020,business,650
15/4/2020,working,916
15/4/2020,workers,1108
15/4/2020,work,1629
15/4/2020,total,665
15/4/2020,public,1018
15/4/2020,number,764
15/4/2020,million,881
15/4/2020,home,1423
15/4/2020,food,593
15/4/2020,economy,878
15/4/2020,business,736
16/4/2020,working,782
16/4/2020,workers,1102
16/4/2020,work,1382
16/4/2020,total,566
16/4/2020,public,1187
16/4/2020,number,643
16/4/2020,million,642
16/4/2020,home,1233
16/4/2020,food,583
16/4/2020,economy,640
16/4/2020,business,654
17/4/2020,working,683
17/4/2020,workers,836
17/4/2020,work,1104
17/4/2020,total,528
17/4/2020,public,752
17/4/2020,number,654
17/4/2020,million,476
17/4/2020,home,1078
17/4/2020,food,515
17/4/2020,economy,526
17/4/2020,business,574
18/4/2020,working,481
18/4/2020,workers,671
18/4/2020,work,915
18/4/2020,total,589
18/4/2020,public,588
18/4/2020,number,564
18/4/2020,million,327
18/4/2020,home,939
18/4/2020,food,416
18/4/2020,economy,333
18/4/2020,business,344
19/4/2020,working,308
19/4/2020,workers,463
19/4/2020,work,633
19/4/2020,total,465
19/4/2020,public,365
19/4/2020,number,433
19/4/2020,million,308
19/4/2020,home,713
19/4/2020,food,281
19/4/2020,economy,215
19/4/2020,business,268
20/4/2020,working,618
20/4/2020,workers,790
20/4/2020,work,1075
20/4/2020,total,489
20/4/2020,public,579
20/4/2020,number,574
20/4/2020,million,370
20/4/2020,home,1093
20/4/2020,food,454
20/4/2020,economy,400
20/4/2020,business,598
21/4/2020,working,542
21/4/2020,workers,684
21/4/2020,work,911
21/4/2020,total,437
21/4/2020,public,572
21/4/2020,number,446
21/4/2020,million,285
21/4/2020,home,881
21/4/2020,food,446
21/4/2020,economy,343
21/4/2020,business,461
15/4/2020,working,873
15/4/2020,workers,1188
15/4/2020,work,1449
15/4/2020,total,640
15/4/2020,public,1262
15/4/2020,number,752
15/4/2020,money,652
15/4/2020,million,766
15/4/2020,home,1312
15/4/2020,funding,1198
15/4/2020,food,557
15/4/2020,business,666
16/4/2020,working,1161
16/4/2020,workers,1480
16/4/2020,work,1822
16/4/2020,total,844
16/4/2020,public,1732
16/4/2020,number,951
16/4/2020,money,884
16/4/2020,million,867
16/4/2020,home,1818
16/4/2020,funding,1184
16/4/2020,food,866
16/4/2020,business,789
17/4/2020,working,734
17/4/2020,workers,922
17/4/2020,work,1150
17/4/2020,total,518
17/4/2020,public,821
17/4/2020,number,642
17/4/2020,money,486
17/4/2020,million,447
17/4/2020,home,1065
17/4/2020,funding,411
17/4/2020,food,538
17/4/2020,business,614
18/4/2020,working,394
18/4/2020,workers,505
18/4/2020,work,740
18/4/2020,total,463
18/4/2020,public,424
18/4/2020,number,425
18/4/2020,money,301
18/4/2020,million,294
18/4/2020,home,730
18/4/2020,funding,238
18/4/2020,food,362
18/4/2020,business,248
19/4/2020,working,529
19/4/2020,workers,766
19/4/2020,work,1120
19/4/2020,total,766
19/4/2020,public,625
19/4/2020,number,724
19/4/2020,money,504
19/4/2020,million,519
19/4/2020,home,1200
19/4/2020,funding,171
19/4/2020,food,507
19/4/2020,business,384
20/4/2020,working,866
20/4/2020,workers,1053
20/4/2020,work,1452
20/4/2020,total,631
20/4/2020,public,718
20/4/2020,number,715
20/4/2020,money,517
20/4/2020,million,447
20/4/2020,home,1410
20/4/2020,funding,293
20/4/2020,food,651
20/4/2020,business,779
21/4/2020,working,450
21/4/2020,workers,504
21/4/2020,work,672
21/4/2020,total,300
21/4/2020,public,414
21/4/2020,number,349
21/4/2020,money,238
21/4/2020,million,229
21/4/2020,home,695
21/4/2020,funding,135
21/4/2020,food,303
21/4/2020,business,367
15/4/2020,working,1088
15/4/2020,workers,1436
15/4/2020,work,1882
15/4/2020,total,757
15/4/2020,public,1767
15/4/2020,number,726
15/4/2020,money,778
15/4/2020,home,1740
15/4/2020,food,738
15/4/2020,business,889
16/4/2020,working,563
16/4/2020,workers,751
16/4/2020,work,919
16/4/2020,total,358
16/4/2020,public,774
16/4/2020,number,314
16/4/2020,money,429
16/4/2020,home,880
16/4/2020,FOOD,414
16/4/2020,business,486
17/4/2020,working,797
17/4/2020,workers,1041
17/4/2020,work,1222
17/4/2020,total,704
17/4/2020,public,914
17/4/2020,number,658
17/4/2020,money,568
17/4/2020,home,1525
17/4/2020,food,529
17/4/2020,business,631
18/4/2020,working,329
18/4/2020,Workers,488
18/4/2020,work,581
18/4/2020,total,423
18/4/2020,Public,435
18/4/2020,number,356
18/4/2020,money,283
18/4/2020,home,808
18/4/2020,food,291
18/4/2020,business,235
19/4/2020,working,247
19/4/2020,workers,368
19/4/2020,WORK,556
19/4/2020,total,341
19/4/2020,Public,315
19/4/2020,number,243
19/4/2020,money,303
19/4/2020,home,627
19/4/2020,food,247
19/4/2020,business,181
20/4/2020,working,533
20/4/2020,workers,706
20/4/2020,Work,859
20/4/2020,total,540
20/4/2020,public,484
20/4/2020,number,456
20/4/2020,money,286
20/4/2020,home,1063
20/4/2020,food,319
20/4/2020,business,467
21/4/2020,working,835
21/4/2020,workers,1021
21/4/2020,work,1418
21/4/2020,total,704
21/4/2020,public,733
21/4/2020,number,617
21/4/2020,money,476
21/4/2020,home,1479
21/4/2020,food,581
21/4/2020,business,656
22/4/2020,working,574
22/4/2020,workers,706
22/4/2020,work,1033
22/4/2020,total,397
22/4/2020,public,519
22/4/2020,number,425
22/4/2020,home,901
22/4/2020,food,457
22/4/2020,business,512
23/4/2020,working,1012
23/4/2020,workers,1219
23/4/2020,work,1725
23/4/2020,total,710
23/4/2020,public,832
23/4/2020,number,730
23/4/2020,home,1456
23/4/2020,food,755
23/4/2020,business,860
24/4/2020,working,742
24/4/2020,workers,767
24/4/2020,work,1120
24/4/2020,total,580
24/4/2020,public,558
24/4/2020,number,556
24/4/2020,home,944
24/4/2020,food,512
24/4/2020,business,574
25/4/2020,working,424
25/4/2020,workers,482
25/4/2020,work,856
25/4/2020,total,582
25/4/2020,public,470
25/4/2020,number,529
25/4/2020,home,802
25/4/2020,food,355
25/4/2020,business,293
26/4/2020,working,329
26/4/2020,workers,401
26/4/2020,work,565
26/4/2020,total,439
26/4/2020,public,332
26/4/2020,number,398
26/4/2020,home,552
26/4/2020,food,267
26/4/2020,business,215
27/4/2020,working,615
27/4/2020,workers,691
27/4/2020,work,1123
27/4/2020,total,511
27/4/2020,public,525
27/4/2020,number,552
27/4/2020,home,939
27/4/2020,food,362
27/4/2020,business,613
28/4/2020,working,951
28/4/2020,workers,1705
28/4/2020,work,1526
28/4/2020,total,715
28/4/2020,public,740
28/4/2020,number,736
28/4/2020,home,1362
28/4/2020,food,588
28/4/2020,business,829
22/4/2020,working,697
22/4/2020,workers,816
22/4/2020,work,1226
22/4/2020,total,462
22/4/2020,public,572
22/4/2020,number,524
22/4/2020,home,996
22/4/2020,food,521
22/4/2020,business,593
23/4/2020,working,816
23/4/2020,workers,974
23/4/2020,work,1363
23/4/2020,total,539
23/4/2020,public,703
23/4/2020,number,586
23/4/2020,home,1204
23/4/2020,food,516
23/4/2020,business,683
24/4/2020,working,744
24/4/2020,workers,780
24/4/2020,work,1118
24/4/2020,total,551
24/4/2020,public,620
24/4/2020,number,519
24/4/2020,home,991
24/4/2020,food,463
24/4/2020,business,491
25/4/2020,working,397
25/4/2020,workers,484
25/4/2020,work,681
25/4/2020,total,510
25/4/2020,public,416
25/4/2020,number,503
25/4/2020,home,709
25/4/2020,food,330
25/4/2020,business,294
26/4/2020,working,268
26/4/2020,workers,280
26/4/2020,work,418
26/4/2020,total,416
26/4/2020,public,217
26/4/2020,number,320
26/4/2020,home,432
26/4/2020,food,227
26/4/2020,business,147
27/4/2020,working,793
27/4/2020,workers,933
27/4/2020,work,1345
27/4/2020,total,730
27/4/2020,public,696
27/4/2020,number,743
27/4/2020,home,1195
27/4/2020,food,557
27/4/2020,business,723
28/4/2020,working,873
28/4/2020,workers,1726
28/4/2020,work,1608
28/4/2020,total,760
28/4/2020,public,821
28/4/2020,number,777
28/4/2020,home,1424
28/4/2020,food,632
28/4/2020,business,856
22/4/2020,working,866
22/4/2020,workers,995
22/4/2020,work,1407
22/4/2020,total,578
22/4/2020,public,670
22/4/2020,number,609
22/4/2020,home,1227
22/4/2020,food,662
22/4/2020,business,703
23/4/2020,working,760
23/4/2020,workers,911
23/4/2020,work,1231
23/4/2020,total,538
23/4/2020,public,597
23/4/2020,number,543
23/4/2020,home,1048
23/4/2020,food,550
23/4/2020,business,643
24/4/2020,working,881
24/4/2020,workers,903
24/4/2020,work,1324
24/4/2020,total,609
24/4/2020,public,659
24/4/2020,number,578
24/4/2020,home,1052
24/4/2020,food,513
24/4/2020,business,572
25/4/2020,working,379
25/4/2020,workers,387
25/4/2020,work,618
25/4/2020,total,522
25/4/2020,public,349
25/4/2020,number,465
25/4/2020,home,601
25/4/2020,food,248
25/4/2020,business,218
26/4/2020,working,274
26/4/2020,workers,347
26/4/2020,work,560
26/4/2020,total,462
26/4/2020,public,355
26/4/2020,number,430
26/4/2020,home,611
26/4/2020,food,290
26/4/2020,business,228
27/4/2020,working,910
27/4/2020,workers,1146
27/4/2020,work,1573
27/4/2020,total,811
27/4/2020,public,853
27/4/2020,number,853
27/4/2020,home,1383
27/4/2020,food,662
27/4/2020,business,890
28/4/2020,working,741
28/4/2020,workers,1639
28/4/2020,work,1254
28/4/2020,total,584
28/4/2020,public,588
28/4/2020,number,592
28/4/2020,home,1090
28/4/2020,food,473
28/4/2020,business,626
29/4/2020,business,5832
29/4/2020,home,11653
29/4/2020,number,7150
29/4/2020,public,7831
29/4/2020,work,13846
29/4/2020,workers,6042
29/4/2020,working,6265
30/4/2020,working,4961
30/4/2020,workers,7002
30/4/2020,work,10061
30/4/2020,total,4451
30/4/2020,public,5288
30/4/2020,numbers,4398
30/4/2020,number,5350
30/4/2020,money,5134
30/4/2020,million,5726
30/4/2020,home,10411
30/4/2020,economy,4482
