created_at,TextPivot,Count of Number of Records
04-03-2020,confirmed,1218
04-03-2020,China,1498
04-03-2020,cases,3439
04-03-2020,case,1039
04-03-2020,care,662
04-03-2020,better,508
04-03-2020,best,446
04-03-2020,@realDonaldTrump,1061
05-03-2020,world,1160
05-03-2020,work,1710
05-03-2020,weeks,466
05-03-2020,wash,579
05-03-2020,virus,2510
05-03-2020,US,1089
05-03-2020,UK,741
05-03-2020,Trump,1194
05-03-2020,travel,972
05-03-2020,toilet,370
05-03-2020,today,871
05-03-2020,time,1515
05-03-2020,thread,450
05-03-2020,Thanks,827
05-03-2020,testing,820
05-03-2020,tested,769
05-03-2020,test,706
05-03-2020,stop,896
05-03-2020,stay,632
05-03-2020,state,729
05-03-2020,spreading,674
05-03-2020,spread,2094
05-03-2020,sick,987
05-03-2020,safe,620
05-03-2020,risk,678
05-03-2020,right,863
05-03-2020,response,713
05-03-2020,really,780
05-03-2020,read,487
05-03-2020,rate,588
05-03-2020,quarantine,410
05-03-2020,public,1050
05-03-2020,protect,700
05-03-2020,positive,863
05-03-2020,Please,589
05-03-2020,patients,509
05-03-2020,paper,375
05-03-2020,panic,711
05-03-2020,pandemic,430
05-03-2020,outbreak,1673
05-03-2020,number,653
05-03-2020,news,816
05-03-2020,new,1877
05-03-2020,medical,600
05-03-2020,media,498
05-03-2020,March,614
05-03-2020,latest,1324
05-03-2020,Italy,979
05-03-2020,information,776
05-03-2020,infected,812
05-03-2020,home,1135
05-03-2020,help,1200
05-03-2020,health,1730
05-03-2020,Health,816
05-03-2020,hands,1356
05-03-2020,hand,849
05-03-2020,government,898
05-03-2020,good,996
05-03-2020,global,819
05-03-2020,getting,661
05-03-2020,flu,670
05-03-2020,face,757
05-03-2020,deaths,673
05-03-2020,death,1099
05-03-2020,crisis,531
05-03-2020,country,936
05-03-2020,countries,725
05-03-2020,confirmed,1364
05-03-2020,China,1481
05-03-2020,cases,3383
05-03-2020,case,1650
05-03-2020,care,626
05-03-2020,better,583
05-03-2020,best,498
05-03-2020,@realDonaldTrump,1491
06-03-2020,world,1588
06-03-2020,work,1860
06-03-2020,weeks,713
06-03-2020,wash,797
06-03-2020,virus,3006
06-03-2020,US,1789
06-03-2020,UK,641
06-03-2020,Trump,2095
06-03-2020,travel,1154
06-03-2020,toilet,546
06-03-2020,today,1198
06-03-2020,time,2112
06-03-2020,thread,342
06-03-2020,Thanks,1027
06-03-2020,testing,1503
06-03-2020,tested,1534
06-03-2020,test,1556
06-03-2020,stop,1226
06-03-2020,stay,789
06-03-2020,state,945
06-03-2020,spreading,726
06-03-2020,spread,2298
06-03-2020,sick,1228
06-03-2020,safe,803
06-03-2020,risk,961
06-03-2020,right,1193
06-03-2020,response,1073
06-03-2020,really,1111
06-03-2020,read,624
06-03-2020,rate,811
06-03-2020,quarantine,622
06-03-2020,public,1315
06-03-2020,protect,909
06-03-2020,positive,1384
06-03-2020,Please,734
06-03-2020,patients,740
06-03-2020,paper,555
06-03-2020,panic,997
06-03-2020,pandemic,667
06-03-2020,outbreak,2010
06-03-2020,number,983
06-03-2020,news,1172
06-03-2020,new,2457
06-03-2020,medical,700
06-03-2020,media,749
06-03-2020,March,699
06-03-2020,latest,1626
06-03-2020,Italy,887
06-03-2020,information,943
06-03-2020,infected,1139
06-03-2020,home,1398
06-03-2020,help,1505
06-03-2020,health,2249
06-03-2020,Health,968
06-03-2020,hands,1728
06-03-2020,hand,1077
06-03-2020,government,1096
06-03-2020,good,1469
06-03-2020,global,888
06-03-2020,getting,931
06-03-2020,flu,971
06-03-2020,face,852
06-03-2020,deaths,999
06-03-2020,death,776
06-03-2020,crisis,1136
06-03-2020,country,1180
06-03-2020,countries,812
06-03-2020,confirmed,1870
06-03-2020,China,1843
06-03-2020,cases,5095
06-03-2020,case,2111
06-03-2020,care,1046
06-03-2020,better,709
06-03-2020,best,685
06-03-2020,@realDonaldTrump,2144
07-03-2020,world,1361
07-03-2020,work,1034
07-03-2020,weeks,596
07-03-2020,wash,728
07-03-2020,virus,2426
07-03-2020,US,1989
07-03-2020,UK,483
07-03-2020,Trump,1793
07-03-2020,travel,676
07-03-2020,toilet,1470
07-03-2020,today,863
07-03-2020,time,1743
07-03-2020,thread,1478
07-03-2020,Thanks,999
07-03-2020,testing,1158
07-03-2020,tested,1064
07-03-2020,test,1234
07-03-2020,stop,949
07-03-2020,stay,715
07-03-2020,state,967
07-03-2020,spreading,632
07-03-2020,spread,1677
07-03-2020,sick,829
07-03-2020,safe,618
07-03-2020,risk,971
07-03-2020,right,992
07-03-2020,response,765
07-03-2020,really,1022
07-03-2020,read,1093
07-03-2020,rate,709
07-03-2020,quarantine,723
07-03-2020,public,1208
07-03-2020,protect,638
07-03-2020,positive,1187
07-03-2020,Please,724
07-03-2020,patients,796
07-03-2020,paper,1048
07-03-2020,panic,1136
07-03-2020,pandemic,595
07-03-2020,outbreak,1399
07-03-2020,number,896
07-03-2020,news,818
